104.20.53.44:443#🇩🇪 法兰克福(FRA)-7.62MB/s
104.20.58.245:443#🇩🇪 法兰克福(FRA)-7.60MB/s
104.20.51.27:443#🇩🇪 法兰克福(FRA)-7.57MB/s
104.20.48.41:443#🇩🇪 法兰克福(FRA)-6.83MB/s
104.20.59.238:443#🇩🇪 法兰克福(FRA)-6.45MB/s
104.20.50.32:443#🇩🇪 法兰克福(FRA)-6.37MB/s
104.20.48.141:443#🇩🇪 法兰克福(FRA)-6.31MB/s
104.20.56.123:443#🇩🇪 法兰克福(FRA)-6.24MB/s
104.20.58.212:443#🇩🇪 法兰克福(FRA)-6.11MB/s
104.20.49.62:443#🇩🇪 法兰克福(FRA)-6.10MB/s
104.20.48.12:443#🇩🇪 法兰克福(FRA)-6.10MB/s
104.20.55.209:443#🇩🇪 法兰克福(FRA)-6.06MB/s
104.20.59.122:443#🇩🇪 法兰克福(FRA)-6.04MB/s
104.20.63.131:443#🇩🇪 法兰克福(FRA)-5.91MB/s
104.20.51.105:443#🇩🇪 法兰克福(FRA)-5.90MB/s
104.20.59.0:443#🇩🇪 法兰克福(FRA)-5.89MB/s
104.20.62.117:443#🇩🇪 法兰克福(FRA)-5.88MB/s
104.20.57.176:443#🇩🇪 法兰克福(FRA)-5.87MB/s
104.20.53.117:443#🇩🇪 法兰克福(FRA)-5.84MB/s
162.159.160.133:443#🇩🇪 法兰克福(FRA)-5.84MB/s
104.20.49.158:443#🇩🇪 法兰克福(FRA)-5.82MB/s
162.159.160.37:443#🇩🇪 法兰克福(FRA)-5.76MB/s
104.20.58.179:443#🇩🇪 法兰克福(FRA)-5.73MB/s
104.20.55.253:443#🇩🇪 法兰克福(FRA)-5.68MB/s
104.20.60.197:443#🇩🇪 法兰克福(FRA)-5.62MB/s
104.20.57.100:443#🇩🇪 法兰克福(FRA)-5.44MB/s
104.20.52.163:443#🇩🇪 法兰克福(FRA)-5.32MB/s
104.20.59.199:443#🇩🇪 法兰克福(FRA)-5.30MB/s
104.20.62.56:443#🇩🇪 法兰克福(FRA)-5.27MB/s
162.159.160.85:443#🇩🇪 法兰克福(FRA)-5.15MB/s
104.20.51.238:443#🇩🇪 法兰克福(FRA)-5.08MB/s
104.20.63.19:443#🇩🇪 法兰克福(FRA)-5.03MB/s
104.20.60.60:443#🇩🇪 法兰克福(FRA)-4.99MB/s
104.20.63.68:443#🇩🇪 法兰克福(FRA)-4.73MB/s
141.101.90.103:443#🇩🇪 法兰克福(FRA)-4.69MB/s
104.20.50.118:443#🇩🇪 法兰克福(FRA)-4.51MB/s
104.20.54.37:443#🇩🇪 法兰克福(FRA)-4.35MB/s
104.20.60.150:443#🇩🇪 法兰克福(FRA)-4.34MB/s
104.20.48.76:443#🇩🇪 法兰克福(FRA)-4.31MB/s
162.159.160.152:443#🇩🇪 法兰克福(FRA)-4.26MB/s
104.20.48.92:443#🇩🇪 法兰克福(FRA)-4.12MB/s
162.159.133.84:443#🇬🇧 伦敦希思罗(LHR)-8.29MB/s
162.159.130.240:443#🇬🇧 伦敦希思罗(LHR)-8.19MB/s
162.159.153.233:443#🇬🇧 伦敦希思罗(LHR)-8.06MB/s
104.18.30.210:443#🇬🇧 伦敦希思罗(LHR)-7.92MB/s
172.67.204.249:443#🇬🇧 伦敦希思罗(LHR)-7.86MB/s
162.159.141.249:443#🇬🇧 伦敦希思罗(LHR)-7.76MB/s
172.67.139.11:443#🇬🇧 伦敦希思罗(LHR)-7.65MB/s
162.159.143.142:443#🇬🇧 伦敦希思罗(LHR)-7.64MB/s
172.67.200.70:443#🇬🇧 伦敦希思罗(LHR)-7.59MB/s
162.159.138.176:443#🇬🇧 伦敦希思罗(LHR)-7.55MB/s
162.159.137.205:443#🇬🇧 伦敦希思罗(LHR)-7.35MB/s
162.159.133.115:443#🇬🇧 伦敦希思罗(LHR)-7.30MB/s
104.18.31.227:443#🇬🇧 伦敦希思罗(LHR)-7.23MB/s
172.66.1.58:443#🇬🇧 伦敦希思罗(LHR)-7.20MB/s
104.18.28.81:443#🇬🇧 伦敦希思罗(LHR)-7.20MB/s
162.159.141.95:443#🇬🇧 伦敦希思罗(LHR)-7.16MB/s
172.67.143.228:443#🇬🇧 伦敦希思罗(LHR)-7.15MB/s
162.159.135.92:443#🇬🇧 伦敦希思罗(LHR)-7.13MB/s
162.159.143.172:443#🇬🇧 伦敦希思罗(LHR)-7.03MB/s
172.67.199.201:443#🇬🇧 伦敦希思罗(LHR)-6.95MB/s
162.159.143.2:443#🇬🇧 伦敦希思罗(LHR)-6.95MB/s
172.67.142.77:443#🇬🇧 伦敦希思罗(LHR)-6.91MB/s
162.159.140.79:443#🇬🇧 伦敦希思罗(LHR)-6.83MB/s
104.18.16.41:443#🇬🇧 伦敦希思罗(LHR)-6.82MB/s
162.159.135.156:443#🇬🇧 伦敦希思罗(LHR)-6.77MB/s
172.67.137.26:443#🇬🇧 伦敦希思罗(LHR)-6.71MB/s
104.18.34.112:443#🇬🇧 伦敦希思罗(LHR)-6.71MB/s
162.159.135.243:443#🇬🇧 伦敦希思罗(LHR)-6.68MB/s
162.159.143.222:443#🇬🇧 伦敦希思罗(LHR)-6.67MB/s
172.67.138.207:443#🇬🇧 伦敦希思罗(LHR)-6.62MB/s
162.159.138.142:443#🇬🇧 伦敦希思罗(LHR)-6.57MB/s
162.159.136.144:443#🇬🇧 伦敦希思罗(LHR)-6.56MB/s
172.67.130.144:443#🇬🇧 伦敦希思罗(LHR)-6.54MB/s
162.159.140.98:443#🇬🇧 伦敦希思罗(LHR)-6.51MB/s
162.159.138.42:443#🇬🇧 伦敦希思罗(LHR)-6.46MB/s
162.159.136.177:443#🇬🇧 伦敦希思罗(LHR)-6.40MB/s
172.67.131.141:443#🇬🇧 伦敦希思罗(LHR)-6.29MB/s
172.67.193.83:443#🇬🇧 伦敦希思罗(LHR)-6.20MB/s
162.159.137.54:443#🇬🇧 伦敦希思罗(LHR)-6.19MB/s
172.67.142.15:443#🇬🇧 伦敦希思罗(LHR)-6.18MB/s
172.67.199.99:443#🇬🇧 伦敦希思罗(LHR)-6.13MB/s
162.159.129.58:443#🇬🇧 伦敦希思罗(LHR)-6.09MB/s
162.159.135.239:443#🇬🇧 伦敦希思罗(LHR)-6.07MB/s
162.159.143.250:443#🇬🇧 伦敦希思罗(LHR)-6.02MB/s
162.159.142.226:443#🇬🇧 伦敦希思罗(LHR)-5.90MB/s
172.66.3.61:443#🇬🇧 伦敦希思罗(LHR)-5.88MB/s
172.67.198.79:443#🇬🇧 伦敦希思罗(LHR)-5.77MB/s
104.18.20.150:443#🇬🇧 伦敦希思罗(LHR)-5.64MB/s
162.159.136.251:443#🇬🇧 伦敦希思罗(LHR)-5.34MB/s
172.67.142.13:443#🇬🇧 伦敦希思罗(LHR)-5.13MB/s
172.65.237.223:443#🇬🇧 伦敦希思罗(LHR)-4.94MB/s
172.67.205.2:443#🇬🇧 伦敦希思罗(LHR)-4.93MB/s
172.67.200.99:443#🇬🇧 伦敦希思罗(LHR)-4.72MB/s
104.18.17.143:443#🇬🇧 伦敦希思罗(LHR)-4.68MB/s
172.67.130.77:443#🇬🇧 伦敦希思罗(LHR)-4.66MB/s
104.18.27.200:443#🇬🇧 伦敦希思罗(LHR)-4.63MB/s
162.159.153.249:443#🇬🇧 伦敦希思罗(LHR)-4.57MB/s
172.67.128.142:443#🇬🇧 伦敦希思罗(LHR)-4.49MB/s
172.67.129.151:443#🇬🇧 伦敦希思罗(LHR)-4.48MB/s
162.159.129.59:443#🇬🇧 伦敦希思罗(LHR)-4.06MB/s
104.16.146.249:443#🇭🇰 香港(HKG)-25.41MB/s
104.18.46.250:443#🇭🇰 香港(HKG)-25.11MB/s
104.17.99.189:443#🇭🇰 香港(HKG)-24.69MB/s
104.17.25.1:443#🇭🇰 香港(HKG)-23.06MB/s
198.41.208.189:443#🇭🇰 香港(HKG)-21.32MB/s
