IP 地址,已发送,已接收,丢包率,地区码,下载速度(MB/s),平均延迟,端口
104.16.212.46,4,4,0.00,31.01,60.78,HKG,443
104.18.179.82,4,4,0.00,118.00,5.79,HKG,443
104.18.155.72,4,4,0.00,130.46,4.19,HKG,443
104.18.38.123,4,4,0.00,67.84,3.23,HKG,443
104.16.222.123,4,4,0.00,183.01,2.49,SJC,443
172.64.32.5,4,4,0.00,194.99,2.48,HKG,443
104.18.174.230,4,4,0.00,131.50,2.15,HKG,443
173.245.59.193,4,4,0.00,121.95,2.06,HKG,443
104.16.78.111,4,4,0.00,178.31,2.03,SJC,443
104.17.61.178,4,4,0.00,176.15,1.96,HKG,443
104.16.178.32,4,4,0.00,181.67,1.96,SJC,443
104.17.151.14,4,4,0.00,128.04,1.94,HKG,443
104.17.95.51,4,4,0.00,182.90,1.89,SJC,443
104.17.138.165,4,4,0.00,144.42,1.83,HKG,443
172.64.150.141,4,4,0.00,178.64,1.80,HKG,443
104.16.15.253,4,4,0.00,118.22,1.61,HKG,443
172.64.146.158,4,4,0.00,96.33,1.60,HKG,443
104.17.40.192,4,4,0.00,189.98,1.59,SJC,443
190.93.245.25,4,4,0.00,102.82,1.55,HKG,443
104.16.225.220,4,4,0.00,193.45,1.45,SJC,443
104.16.13.6,4,4,0.00,178.74,1.29,HKG,443
104.18.189.4,4,4,0.00,151.84,1.20,SEA,443
104.17.31.205,4,4,0.00,149.72,1.18,HKG,443
104.18.150.249,4,4,0.00,72.03,1.16,SJC,443
172.67.223.253,4,4,0.00,194.48,1.15,SJC,443
104.16.7.221,4,4,0.00,142.92,1.13,HKG,443
172.64.88.107,4,4,0.00,142.65,1.12,HKG,443
104.18.163.103,4,4,0.00,65.89,1.12,SJC,443
104.16.174.139,4,4,0.00,193.02,1.10,SJC,443
104.17.139.228,4,4,0.00,73.36,1.08,HKG,443
104.18.229.124,4,4,0.00,107.16,1.07,HKG,443
104.18.71.156,4,4,0.00,195.22,1.03,SEA,443
